Function,Initialization,Mutation,OptValue
Rastrigin-2d,random,ABC/best/1,3.014477556462225e-10
Rastrigin-2d,random,ABC/best/1,1.9600321365942364e-11
Rastrigin-2d,random,ABC/best/1,6.372147254296578e-11
Rastrigin-2d,random,ABC/best/1,3.142375248899043e-11
Rastrigin-2d,random,ABC/best/1,8.562039965909207e-13
Rastrigin-2d,random,ABC/best/1,2.6645352591003757e-11
Rastrigin-2d,random,ABC/best/1,6.998845947236987e-12
Rastrigin-2d,random,ABC/best/1,8.490985692333197e-12
Rastrigin-2d,random,ABC/best/1,2.460609493937227e-11
Rastrigin-2d,random,ABC/best/1,4.0962788716569776e-11
Rastrigin-2d,random,ABC/best/1,1.0658141036401503e-13
Rastrigin-2d,random,ABC/best/1,2.0327561855992826e-10
Rastrigin-2d,cahotic,ABC/best/1,1.2036487362365733e-09
Rastrigin-2d,cahotic,ABC/best/1,8.432010645265109e-11
Rastrigin-2d,cahotic,ABC/best/1,8.886971158972301e-10
Rastrigin-2d,cahotic,ABC/best/1,2.7675639557855902e-12
Rastrigin-2d,cahotic,ABC/best/1,6.033928912074771e-11
Rastrigin-2d,cahotic,ABC/best/1,9.947598300641403e-14
Rastrigin-2d,cahotic,ABC/best/1,2.405506904779031e-10
Rastrigin-2d,cahotic,ABC/best/1,6.394884621840902e-14
Rastrigin-2d,cahotic,ABC/best/1,1.0302869668521453e-13
Rastrigin-2d,cahotic,ABC/best/1,1.0729195309977513e-12
Rastrigin-2d,cahotic,ABC/best/1,2.0605739337042905e-13
Rastrigin-2d,cahotic,ABC/best/1,1.9838353182421997e-11
Rastrigin-2d,cahotic,ABC/best/1,2.7000623958883807e-13
Rastrigin-2d,cahotic,ABC/best/1,2.842170943040401e-14
Rastrigin-2d,cahotic,ABC/best/1,4.46576109425223e-12
Rastrigin-2d,random,ABC/best/2,9.296741154685151e-11
Rastrigin-2d,random,ABC/best/2,1.7059420542864245e-10
Rastrigin-2d,random,ABC/best/2,4.4363446249917615e-10
Rastrigin-2d,random,ABC/best/2,1.609734567864507e-10
Rastrigin-2d,random,ABC/best/2,9.083507279683545e-10
Rastrigin-2d,random,ABC/best/2,2.76685341304983e-10
