Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Schwefel-10d,random,DirectedABC,0.0001272756625742962,2.268678379413627e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566263492918
Schwefel-10d,cahotic,DirectedABC,0.0001272756625742962,2.268678379413627e-13,0.00012727566263492918,0.00012727566172543447,0.00012727566263492918
Sumsquares-10d,random,StandardABC,2.5445684231241806e-13,4.772444350360695e-13,3.575514510874673e-14,9.356601874173615e-17,1.7636276414938211e-12
Sumsquares-10d,cahotic,StandardABC,1.9267554189579556e-13,4.1151468400694114e-13,4.0471011997300136e-15,9.911950831115679e-17,1.6168814114696618e-12
Sumsquares-10d,random,ModifiedABC,2.2285601281874288e-07,9.395405996257756e-08,2.1176919178628793e-07,7.774706084588231e-08,3.7746454923211046e-07
Sumsquares-10d,cahotic,ModifiedABC,2.4440762218940854e-07,1.1840192201713315e-07,2.1824493740647247e-07,9.966582189656717e-08,5.33266187020704e-07
Sumsquares-10d,random,ABC/best/1,7.326911066939352e-09,6.985730276720535e-09,5.515492957139184e-09,3.8318324329434326e-11,2.7073183242077962e-08
Sumsquares-10d,cahotic,ABC/best/1,6.380533587343483e-09,6.889661437565367e-09,2.690566221312557e-09,2.49272108366468e-10,2.2977111677349477e-08
Sumsquares-10d,random,ABC/best/2,1.910184508806609e-08,1.8453890927921317e-08,1.5862292518954406e-08,9.383207765156052e-10,5.5939419183487685e-08
Sumsquares-10d,cahotic,ABC/best/2,2.4158171744201306e-08,2.3936072343426848e-08,1.4319430912090635e-08,1.9847688760576214e-10,9.238632638895504e-08
Sumsquares-10d,random,DirectedABC,7.704421889833267e-12,1.3908102588856861e-11,6.142208962162782e-13,1.1014906729470846e-16,4.619372093021431e-11
Sumsquares-10d,cahotic,DirectedABC,8.305121149573827e-12,1.7091094778699393e-11,1.796210183427461e-12,1.7725833579721087e-14,6.400971397120024e-11
Sphere-30d,random,StandardABC,2.5576819579387018e-11,4.4446204619578556e-11,3.492055999376148e-12,5.862757487450207e-14,1.592663035036177e-10
Sphere-30d,cahotic,StandardABC,1.2351797842616675e-11,3.4092496746874366e-11,1.5324400333612017e-12,1.2431495412747407e-13,1.3913458806285466e-10
Sphere-30d,random,ModifiedABC,1.6126002843018806e-06,2.948900010867197e-07,1.6858430839471966e-06,9.639546101192342e-07,2.0997830449640223e-06
Sphere-30d,cahotic,ModifiedABC,1.2020775734383888e-06,1.7688860376380154e-07,1.1792768086828325e-06,8.548757578515014e-07,1.5225082208019924e-06
Sphere-30d,random,ABC/best/1,4.363915061771851e-08,5.184101464382231e-08,3.012185277956769e-08,1.781182939581549e-09,2.1471940806535982e-07
Sphere-30d,cahotic,ABC/best/1,5.04248334467082e-08,5.0980141226320354e-08,3.092986297647201e-08,2.413874892782996e-11,1.5499876440423542e-07
Sphere-30d,random,ABC/best/2,9.097050874291434e-08,7.998945532351562e-08,5.1767924066991915e-08,1.1368785807798287e-08,2.549572605830741e-07
Sphere-30d,cahotic,ABC/best/2,9.742200708479102e-08,8.213317401246367e-08,7.475826633837235e-08,7.085583825439774e-09,2.702936373782409e-07
Sphere-30d,random,DirectedABC,2.047442788352596e-11,3.498525289519267e-11,2.1565125482245274e-12,3.664806648327754e-15,1.3503356504306766e-10
Sphere-30d,cahotic,DirectedABC,1.2082474343148425e-10,2.132706077561504e-10,3.1399948973929935e-11,2.6880712610537688e-14,8.684803426427777e-10
Rosenbrock-30d,random,StandardABC,18.024885036271158,5.32986627700859,19.709124106558964,7.050576580113714,25.176355413169855
Rosenbrock-30d,cahotic,StandardABC,1.8885958134513736,1.8215351563730826,1.2459774462659585,0.2124213413033819,5.673695269878799
